NAZWA;POW;LUD;LUD_M;PRAC;PRAC_P;BEZ;WYN;MIESZK;ENEL;DSGR;POTROZ;UZROL;LES;PROD_P;DOCH;DOCHW;;
krakowski;1230;236318;19,1;83393;10662;10713;1863,62;63396;34,6;2299,5;2,00;72,5;12,5;1798,5;75,2;8,7;;
limanowski;952;118593;18,3;50861;4226;10896;1495,86;26070;12,7;1189,4;1,34;52,0;38,5;503,2;51,4;3,8;;
miechowski;677;52728;22,7;27346;1643;2741;1616,79;16781;9,5;38,6;1,62;80,6;11,5;306,2;34,0;2,5;;
myœlenicki;673;113299;26,4;45299;6522;6580;1747,56;25750;19,4;831,4;1,69;51,5;35,5;978,8;44,0;3,4;;
nowos¹decki;1550;193104;20,2;71142;4197;17414;1539,30;40103;20,4;1397,5;0,90;46,9;43,3;368,9;49,6;5,4;;
nowotarski;1475;179667;31,0;70082;5622;9433;1522,64;44032;54,5;386,4;2,07;54,6;36,9;411,4;68,2;4,6;;
olkuski;659;123605;53,8;47832;11524;9764;1880,45;37288;41,4;686,0;2,40;51,3;32,4;1327,5;55,6;4,1;;
oœwiêcimski;394;154507;57,2;53763;17350;9091;1807,96;45236;48,2;905,4;2,41;54,9;9,8;1989,9;75,2;5,9;;
proszowicki;414;44727;14,7;23044;896;2340;1555,89;12149;6,5;215,0;1,67;89,0;1,5;58,0;19,3;1,4;;
suski;686;81181;25,3;35118;3772;4020;1551,88;20367;14,6;68,5;1,34;43,6;48,2;280,5;37,0;3,1;;
tarnowski;1334;180795;7,2;69197;5927;12202;1500,34;41958;4,8;2293,3;0,38;65,8;21,0;538,3;48,3;5,2;;
tatrzañski;472;65894;44,6;29465;1756;2670;1615,39;19224;48,8;47,6;3,30;37,2;45,4;327,3;35,4;2,6;;
wadowicki;658;155054;30,2;59849;13701;9502;1617,20;40084;28,5;1535,6;2,50;60,6;23,0;1515,1;65,7;5,8;;
wielicki;428;100410;25,6;31833;5523;5113;1904,99;26615;22,1;1045,6;1,72;64,5;18,1;482,2;26,0;2,4;;
Kraków ;327;741510;100,0;349547;85796;24454;1990,56;259455;646,2;1442,2;4,70;44,7;4,1;11901,7;1324,3;668,1;;
Nowy S¹cz ;57;84382;100,0;39198;10607;6168;1731,14;24684;49,6;249,3;4,00;53,0;11,3;1293,7;187,4;59,8;;
Tarnów;72;121828;100,0;55520;19258;6775;1642,13;37882;69,3;293,5;3,40;61,8;3,9;1862;239,4;86,3;;
bia³obrzeski;639;34223;24,3;15670;729;2841;1649,04;9764;3,6;166,5;1,28;66,5;25,3;83,5;16,1;0,9;;
ciechanowski;1063;94063;54,0;36237;5572;8296;1694,78;26897;29,2;135,3;3,42;75,3;14,8;650,5;59,4;4,1;;
garwoliñski;1284;108607;26,9;45566;6043;6551;1651,40;28507;17,7;344,4;1,31;62,7;27,1;723,5;60,1;2,9;;
gostyniñski;615;49428;41,3;19997;3203;5370;1554,46;14536;13,5;12,5;1,88;69,4;20,8;196,4;27,9;1,4;;
grodziski;367;72505;61,2;25302;6052;2546;2215,93;24556;48,5;410,7;4,81;74,8;12,9;1063,5;56,9;2,8;;
grójecki;1383;108797;30,8;51440;6891;4297;2029,81;32849;20,8;839,0;2,00;78,0;11,9;1421,1;46,2;3,4;;
kozienicki;917;66311;32,1;28952;6118;5714;2128,84;18943;12,0;125,4;1,90;57,5;30,0;3060,699707;27,1;1,6;;
legionowski;393;88701;61,7;25449;5185;3931;1981,61;26572;35,1;370,8;4,78;45,3;29,3;539,1;28,7;2,7;;
lipski;748;40452;16,4;21639;624;4039;1517,44;12935;4,0;0,0;0,70;75,1;16,7;72,4;25,5;2,2;;
³osicki;772;34807;21,9;17165;1021;2252;1606,26;10832;4,5;41,1;2,81;72,6;20,4;60,7;18,3;0,6;;
makowski;1065;49548;27,4;21663;1347;4738;1523,44;13766;9,6;0,0;1,60;68,2;25,0;120,2;26,5;1,3;;
miñski;1187;152159;47,0;53088;9169;6166;1808,00;45497;73,1;349,9;3,05;67,7;22,0;716,2;67,9;8,7;;
m³awski;1171;75950;40,4;27765;3896;7960;1559,58;22135;15,9;110,9;1,71;73,2;18,0;529,7;37,4;2,0;;
nowodworski;688;74586;50,8;24163;4516;5414;2020,26;22570;20,6;162,3;3,05;59,1;26,2;1055;31,0;2,0;;
ostro³êcki;2099;84612;3,6;36211;1287;7607;1726,86;19940;1,7;168,3;0,35;62,7;30,8;228,9;22,6;1,7;;
ostrowski;1225;78701;31,6;35216;5067;5659;1614,63;22352;15,3;98,5;2,83;63,9;27,4;880,6;32,6;1,9;;
otwocki;615;112457;62,2;40209;7530;5314;1816,63;34926;74,8;373,5;3,95;53,4;29,0;981,1;61,8;3,7;;
piaseczyñski;507;109353;51,1;51132;14529;3176;2341,30;32960;62,8;768,9;5,95;61,6;19,5;3015,2;72,8;7,6;;
p³ocki;1799;107303;9,6;40913;2740;10161;1615,08;28002;5,1;64,7;0,90;72,4;16,5;321,1;41,0;4,6;;
p³oñski;1384;90849;30,8;37731;3700;8583;1904,51;25795;9,7;97,8;1,15;76,4;13,1;991,2;38,3;2,2;;
pruszkowski;246;136948;64,8;50615;11754;4320;2337,28;45735;78,9;633,2;5,00;65,4;10,4;1771,2;51,9;6,0;;
przasnyski ;1218;55214;36,9;21808;2410;5008;1653,31;14874;13,9;0,0;2,03;64,3;28,8;196,7;38,7;2,1;;
przysuski;801;46855;14,4;24666;1722;6172;1564,89;13915;4,6;0,0;1,00;63,0;30,6;71,6;28,4;1,0;;
pu³tuski;829;51715;37,5;20109;1462;4458;1626,36;14069;13,9;19,6;2,10;70,6;18,7;89;30,7;2,4;;
radomski;1530;143758;21,6;53001;5987;17157;1442,53;36986;12,2;359,1;0,88;68,0;23,4;580,5;44,1;3,6;;
siedlecki;1603;81590;2,3;34374;1529;5438;1532,64;22683;1,0;132,6;0,85;74,1;17,6;96,9;14,1;1,2;;
sierpecki;853;56104;35,3;20226;2511;5482;1771,72;15986;12,0;46,7;1,45;77,6;13,3;362;26,9;1,9;;
sochaczewski;731;84860;46,8;32223;5792;4960;2157,38;26052;30,3;0,0;2,67;73,6;14,6;1204,2;37,3;2,4;;
soko³owski;1131;60852;34,5;27702;3216;3706;1667,05;19560;12,4;4,9;1,90;71,8;21,5;814,3;30,5;1,8;;
szyd³owiecki;469;42930;30,3;16648;1221;6678;1503,28;11604;7,8;34,0;1,00;59,3;31,6;57,9;18,4;1,3;;
warszawski;494;1610471;100,0;1029023;189940;33972;3031,65;652565;1406,3;2198,0;8,90;30,0;12,9;48466,7;558,6;87,2;;
warszawski zachodni;533;88930;38,1;36585;7923;3182;2164,78;26901;33,3;583,4;6,20;62,3;25,0;1058,9;36,3;4,3;;
wêgrowski;1219;70888;27,5;28769;1745;4954;1596,16;20481;12,4;14,0;1,90;65,6;25,2;214,7;32,2;1,3;;
wo³omiñski;955;184089;64,8;58260;12572;9844;1889,75;54562;105,3;868,7;3,90;57,2;26,4;1150,9;56,0;5,6;;
wyszkowski;876;72044;37,0;27788;3552;6562;1588,44;18414;13,4;134,6;2,78;58,1;32,6;261,1;36,3;2,7;;
zwoleñski ;571;38324;22,2;18781;854;3740;1524,74;10959;5,2;26,6;0,40;78,2;14,7;427,2372588;16,6;1,0;;
¿uromiñski;805;42116;25,5;18117;1396;4328;1516,62;11069;6,3;0,0;1,28;72,6;19,6;698,3878376;20,4;1,1;;
¿yrardowski;533;76579;65,2;25403;4930;3957;1822,02;26429;33,0;89,1;2,68;68,6;22,3;415,7;37,4;3,0;;
Ostro³êka;29;55818;100,0;21427;6931;5134;2042,10;16534;27,3;97,4;4,30;31,9;3,8;1212,9;113,8;37,4;;
P³ock;88;130830;100,0;59302;24027;11261;2481,18;42436;75,6;122,3;3,85;41,7;4,5;12020,1752;283,6;153,8;;
Radom ;112;231341;100,0;76027;18511;23508;1743,89;73686;128,7;319,3;3,90;50,3;6,0;1692,6;395,3;150,8;;
Siedlce;32;76667;100,0;30590;7924;5436;1860,74;24404;42,9;125,3;4,15;40,9;6,2;1109,4;155,4;54,2;;
brzeski;876;94077;58,2;30132;7599;9049;1629,33;28795;36,1;100,5;3,80;69,3;18,3;731,4;52,9;3,6;;
g³ubczycki;673;53403;45,0;18608;2833;4089;1657,85;16285;14,1;62,9;1,80;85,0;5,9;286;33,7;3,4;;
kêdzierzyñsko-kozielski;625;109321;63,7;37232;10523;4763;1939,47;34275;49,5;134,6;3,30;60,1;23,4;2104,8;51,4;3,6;;
kluczborski;852;72505;51,0;22478;4147;5970;1570,01;21667;24,3;70,0;1,50;61,6;29,5;328,2;42,8;4,1;;
krapkowicki;442;73106;54,9;21890;8733;2901;2208,27;19548;23,0;98,1;0,30;59,9;23,4;1837;21,1;1,7;;
namys³owski;748;44563;37,7;15243;2513;4792;1690,37;13146;10,7;38,1;1,78;63,1;27,1;151,2;24,3;2,0;;
nyski;1224;149618;53,5;50303;13245;15869;1593,67;44157;54,3;210,1;3,30;71,8;12,1;1050,3;74,3;3,5;;
oleski;974;71235;36,8;27777;4998;3298;1631,27;20035;13,9;33,0;2,20;57,1;34,9;401,4;34,0;2,0;;
opolski;1587;139304;12,7;40198;10438;5648;1817,15;36499;9,7;39,5;0,25;43,0;44,3;2261,7;36,0;4,0;;
prudnicki;571;62619;52,9;21035;4224;3854;1579,39;19334;21,3;57,9;1,75;79,8;11,0;240,3;32,7;2,1;;
strzelecki;744;85987;45,8;23326;5382;3592;1708,14;23601;24,3;54,5;0,16;49,0;40,3;410,2;40,5;3,1;;
Opole;96;128927;100,0;63752;13914;5486;1968,48;44473;103,4;199,5;6,30;49,4;9,4;1349,2;301,6;148,6;;
bieszczadzki;1973;50623;33,9;19972;2097;5569;1605,32;12803;8,6;127,9;2,08;19,9;69,9;149,9;34,5;1,5;;
brzozowski ;540;66066;12,0;28515;1886;8012;1508,50;16554;3,7;653,2;1,07;62,7;28,2;90,5;26,6;1,9;;
dêbicki ;776;133464;40,0;58178;13330;11302;1716,28;33081;27,3;1213,6;1,60;63,8;19,1;1947,2;57,4;3,9;;
jaros³awski ;1029;123859;38,4;53519;6739;10641;1624,67;31545;26,0;878,4;2,25;68,2;21,2;733,3;64,8;4,6;;
jasielski ;913;124584;31,2;57602;8955;13436;1637,05;31719;18,0;1219,7;2,16;55,5;34,8;1452,6;61,5;4,7;;
kolbuszowski ;774;60875;14,8;28225;2533;6095;1533,19;14586;4,2;704,2;1,00;55,3;33,7;257,1;21,6;0,8;;
kroœnieñski ;924;109760;12,6;41522;4804;9175;1616,28;27049;10,0;1026,1;1,22;53,0;35,0;678,0823286;30,4;2,1;;
le¿ajski ;583;70019;30,9;31268;5210;7165;1740,49;17346;9,5;547,8;1,40;59,3;29,8;639,7;34,7;1,9;;
lubaczowski;1308;57936;34,8;28288;1964;5848;1526,74;15180;7,3;328,3;1,65;47,5;45,9;277,2176714;46,0;2,1;;
³añcucki;452;77872;23,3;34532;4666;6915;1545,60;20485;9,6;773,2;2,04;68,3;20,0;310,7;31,5;1,8;;
mielecki;880;135167;49,4;59959;15681;9891;1646,38;35826;28,3;851,5;2,03;65,8;22,3;2412,2;70,8;2,5;;
ni¿añski;786;67333;35,7;25529;2258;6791;1455,52;17212;12,5;507,0;1,12;50,4;40,5;84,8;24,8;1,1;;
przemyski;1214;72224;0,0;32324;1042;5840;1535,20;17255;0,0;629,3;1,73;52,6;38,2;42,8;15,2;1,6;;
przeworski;698;79781;27,0;37130;4529;6885;1668,70;21549;10,8;740,2;2,00;67,7;22,0;392,8;29,9;1,8;;
